I am 18+ and consent to take part. I understand anomymised data will be published openly,"How often do you use digital or AI-powered tools (e.g., ChatGPT, Copilot, Gemini, AI-enhanced search) in your daily life? ",I have a clear understanding of my core personal values. ,I can easily explain what matters most to me. ,My values rarely change over time. ,I feel confident in what I believe is right for me. ,Which of the following best represent your top three personal values? (select up to 3),What matters most to you in life?  ,My life feels meaningful. ,I feel fulfilled by how I spend my time. ,I have a clear sense of direction in my life. ,I often feel unsure about what I truly want in life. ,I feel motivated about my future. ,My daily behaviour reflects my values. ,I often behave in ways that conflict with what’s important to me. ,"I often know what I should do, but I struggle to follow through in real life ",I struggle to be the person I want to be. ,Which areas of your life feel least aligned with your values? (select all that apply),  I have felt cheerful and in good spirits.  ,I have felt calm and relaxed. ,I have felt active and vigorous. ,I woke up feeling fresh and rested. ,My daily life has been filled with things that interest me. ,I trust myself to make good decisions. ,I feel easily influenced by other people’s opinions. ,I doubt myself even when I know what I truly value. ,I find it difficult to follow my internal compass. ,Digital noise makes it harder to focus on what matters. ,I often feel distracted from my values by online content. ,"I often feel reactive, distracted, or pulled away from the person I want to become. ",AI tools sometimes influence how I think about decisions. ,I prefer to rely on my own judgement rather than AI suggestions. ,I worry that AI could push society away from meaningful things.  ,AI should be trained to reflect core human values. ,Understanding what humans value is important for future AI systems. ,Which values do you believe AI systems should reflect? (select up 3),What is your age group?,Which of the following best describes your current work status? ,What is your highest level of education? ,Country of residence,Which of the following best describes your gender?,How would you describe your general emotional wellbeing?  
Yes,Everyday,5,4,5,5,"Family, Honesty / Integrity, Security / Stability","Looking after my family, now and for the future ",5,3,4,6,4,5,3,3,3,"Time / focus, Digital habits",3,4,3,2,2,6,5,5,4,6,6,7,5,4,5,5,6,"Empathy, Respect, Human wellbeing",35 - 44,Employed full time,Bachelor’s degree,UK,Man,5
Yes,Occasionally,7,7,6,7,"Family, Honesty / Integrity, Health",Family and living every day like its your last. Also living in the moment,6,5,6,2,6,7,2,2,2,Work / career,4,4,4,3,4,6,2,3,2,3,3,2,2,2,4,4,5,"Honesty, Human wellbeing, Transparency",25 - 34,Employed full time,Some university/college,UK,Woman,6
Yes,Very often,7,7,7,7,"Honesty / Integrity, Compassion, Creativity",Being able to continue what I do without the distractions of money related situations,5,5,5,2,5,6,3,2,5,"Relationships, Finances",4,4,4,4,3,7,1,3,2,4,2,5,2,7,3,4,6,"Honesty, Empathy, Fairness",55 - 65,Self-employed / freelance,Some university/college,Canada,Man,5
Yes,Sometimes,6,6,6,6,"Family, Compassion, Responsibility",My family ,7,7,7,2,6,7,2,1,1,"Health, Digital habits",4,5,3,4,4,6,2,3,1,6,4,2,1,6,5,6,6,"Honesty, Human wellbeing, Accountability",45 - 54,Employed full time,Bachelor’s degree,US,Man,6
Yes,Very often,6,6,6,6,"Family, Security / Stability, Health",health,7,7,6,1,7,6,1,1,1,"Health, Relationships, Work / career, Finances, Purpose / direction",5,5,5,5,4,6,2,1,1,1,1,1,5,4,5,6,6,"Respect, Responsibility, Transparency",25 - 34,Employed full time,Postgraduate degree,UK,Man,6
Yes,Sometimes,7,7,7,6,"Honesty / Integrity, Security / Stability, Compassion","My children's happiness, my happiness and all of our health. A great relationship with a partner where we can share daily.",6,3,5,3,5,7,2,2,3,"Time / focus, Relationships, Finances",3,3,3,3,2,6,5,5,6,6,3,3,5,6,7,6,6,"Fairness, Respect, Non-harm",55 - 65,Employed full time,Bachelor’s degree,Canada,Woman,5
Yes,Occasionally,6,6,7,6,"Honesty / Integrity, Health, Independence",Being true to my own values,6,5,5,2,5,6,2,2,2,None,4,5,2,2,4,6,2,2,2,2,2,2,1,7,6,4,6,"Honesty, Responsibility, Non-harm",55 - 65,Not currently working,Postgraduate degree,UK,Woman,6
Yes,Everyday,7,7,7,7,"Security / Stability, Health, Adventure",My own happiness ,7,7,7,7,7,7,1,1,1,"Health, Relationships, Purpose / direction",5,5,4,4,5,7,1,6,1,4,1,1,3,7,4,7,7,"Honesty, Fairness, Transparency",35 - 44,Employed full time,Bachelor’s degree,UK,Woman,6
Yes,Rarely,6,6,5,6,"Honesty / Integrity, Health, Community / Contribution",Family and friends,5,4,4,3,5,5,4,5,6,"Relationships, Finances",3,2,4,1,3,4,3,5,5,5,5,6,6,5,7,6,5,"Empathy, Transparency, Accountability",45 - 54,Employed full time,Postgraduate degree,UK,Man,3
Yes,Everyday,6,6,4,6,"Family, Achievement / Growth, Adventure",Taking care of my family and making sure they are well and taken care of.,5,3,3,6,3,4,6,7,7,"Health, Time / focus, Relationships, Work / career, Finances, Purpose / direction",3,3,3,3,3,5,4,5,6,5,6,7,7,4,7,7,7,"Honesty, Empathy, Non-harm",25 - 34,Employed full time,Bachelor’s degree,Canada,Man,3
Yes,Everyday,5,5,3,4,"Family, Honesty / Integrity, Security / Stability",My family,4,4,4,6,4,4,6,4,6,"Health, Work / career, Purpose / direction",2,2,2,2,2,4,2,5,4,4,4,4,3,5,4,5,4,"Honesty, Fairness, Transparency",55 - 65,Employed full time,Bachelor’s degree,UK,Man,2
Yes,Everyday,7,7,7,7,"Family, Honesty / Integrity, Achievement / Growth",peace ,7,7,7,1,7,7,7,7,7,"Health, Time / focus, Relationships, Work / career, Finances, Purpose / direction",5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,"Honesty, Fairness, Respect",18 - 24,Employed full time,Bachelor’s degree,Canada,Woman,7
Yes,Often,5,5,5,5,"Family, Honesty / Integrity, Compassion",my family and friends ,5,4,4,3,3,5,4,5,5,"Time / focus, Finances",3,3,3,2,3,4,3,3,3,3,4,4,1,6,4,5,5,"Honesty, Human wellbeing, Accountability",18 - 24,Other,Bachelor’s degree,UK,Woman,4
Yes,Often,6,6,3,5,"Family, Honesty / Integrity, Achievement / Growth",My family and living a fulfilled life. ,6,5,5,6,6,6,3,6,6,"Health, Time / focus, Finances",4,2,3,2,4,5,5,5,5,6,6,5,5,6,4,4,7,"Empathy, Responsibility, Transparency",25 - 34,Employed full time,Some university/college,Canada,Woman,5
Yes,Often,7,7,7,7,"Family, Compassion, Responsibility",Family ,7,6,6,2,6,7,2,2,2,Work / career,4,4,4,4,4,6,2,2,2,2,2,2,3,6,4,6,6,"Fairness, Respect, Responsibility",25 - 34,Employed full time,Bachelor’s degree,US,Man,6
Yes,Sometimes,6,6,6,6,"Family, Honesty / Integrity, Health",Peace of mind,4,2,1,6,1,4,4,6,6,"Time / focus, Work / career, Purpose / direction",2,2,1,1,2,5,2,5,4,5,2,4,4,6,5,5,6,"Honesty, Fairness, Non-harm",25 - 34,Not currently working,High school,US,Man,4
Yes,Everyday,6,6,6,6,"Family, Honesty / Integrity, Health",My children ,7,5,5,3,6,5,6,6,4,"Health, Time / focus, Relationships",4,4,3,4,4,6,5,5,5,5,5,6,5,5,6,6,6,"Honesty, Non-harm, Transparency",25 - 34,Employed full time,Some university/college,UK,Woman,6
Yes,Rarely,5,5,5,7,"Family, Honesty / Integrity, Achievement / Growth",The people that I love.,7,5,5,1,5,4,3,1,1,"Health, Time / focus, Relationships",4,4,3,3,4,6,1,1,1,4,6,6,6,6,7,4,4,"Non-harm, Transparency, Accountability",25 - 34,Not currently working,Bachelor’s degree,US,Woman,4
Yes,Very often,6,6,7,5,"Compassion, Creativity, Responsibility",Trying to do no harm. ,4,3,3,3,2,4,3,2,5,Relationships,2,3,2,1,2,5,1,5,2,6,5,5,3,6,6,5,6,"Honesty, Respect, Non-harm",35 - 44,Self-employed / freelance,Postgraduate degree,UK,Man,3
Yes,Rarely,7,7,2,6,"Honesty / Integrity, Compassion, Creativity",love,6,6,7,7,7,6,7,6,2,"Time / focus, Digital habits",4,4,5,5,5,6,1,1,1,5,6,5,1,7,2,6,2,"Honesty, Empathy, Respect",35 - 44,Self-employed / freelance,Some university/college,UK,Man,6
Yes,Everyday,6,6,5,5,"Family, Security / Stability, Health",Health and stable income,4,4,2,7,2,4,6,2,5,"Health, Work / career, Finances",2,2,2,2,1,2,1,5,5,2,3,5,5,7,5,5,7,"Responsibility, Human wellbeing, Non-harm",35 - 44,Self-employed / freelance,Some university/college,Canada,Woman,3
Yes,Often,6,4,5,5,"Family, Health, Adventure",Experience,3,3,4,5,5,4,2,2,2,Work / career,2,3,2,1,2,5,2,2,2,3,4,5,2,5,6,7,7,"Empathy, Human wellbeing, Non-harm",25 - 34,Employed full time,Postgraduate degree,UK,Man,4
Yes,Rarely,6,6,6,6,"Family, Security / Stability, Health",Being happy/content,4,3,3,6,3,4,5,6,6,"Health, Relationships, Work / career, Finances, Purpose / direction",2,3,1,2,4,5,5,4,5,5,5,5,1,7,7,7,7,"Honesty, Non-harm, Transparency",18 - 24,Not currently working,Bachelor’s degree,UK,Woman,4
Yes,Often,7,7,5,7,"Family, Honesty / Integrity, Security / Stability",My family mean the most to me,7,7,7,1,6,7,1,1,1,None,4,4,3,4,5,6,4,2,1,1,1,1,3,5,3,5,6,"Honesty, Non-harm, Accountability",45 - 54,Employed full time,High school,UK,Man,6
Yes,Everyday,5,7,4,2,"Honesty / Integrity, Independence, Creativity",Peace of mind,1,6,7,7,7,7,2,7,7,Relationships,2,2,3,1,3,1,1,5,7,7,7,7,7,4,1,4,7,"Empathy, Non-harm, Transparency",25 - 34,Not currently working,High school,Canada,Man,4
Yes,Sometimes,5,5,4,4,"Family, Health, Adventure","My family, being there for them and being able to support them anyway that I can",5,4,3,5,4,5,6,5,5,Work / career,2,3,3,3,4,3,4,6,4,6,5,5,4,6,7,4,3,"Honesty, Fairness, Non-harm",25 - 34,Not currently working,High school,UK,Man,3
Yes,Never,6,5,2,6,"Honesty / Integrity, Compassion, Responsibility",Family,3,4,1,4,2,6,2,4,4,"Health, Work / career, Purpose / direction",3,2,1,2,2,5,3,6,2,6,6,2,1,7,6,4,6,"Honesty, Non-harm, Accountability",35 - 44,Not currently working,Bachelor’s degree,UK,Woman,4
Yes,Everyday,6,6,7,7,"Family, Honesty / Integrity, Health",family,7,7,7,1,6,6,1,1,1,"Digital habits, Finances",5,5,4,4,5,7,2,1,1,3,6,4,4,6,7,1,7,"Honesty, Fairness, Respect",25 - 34,Employed part-time,Some university/college,UK,Woman,7
Yes,Often,6,7,6,7,"Family, Honesty / Integrity, Security / Stability",My Family,6,5,6,2,5,5,4,5,5,Finances,4,3,4,2,3,5,4,2,3,2,2,3,2,6,3,7,7,"Honesty, Human wellbeing, Non-harm",45 - 54,Employed full time,Some university/college,Ireland,Man,4
Yes,Often,7,7,7,5,"Family, Honesty / Integrity, Compassion",Family,5,5,5,6,4,6,3,6,6,"Health, Relationships",3,3,3,2,3,5,6,6,4,4,5,4,3,5,3,6,6,"Honesty, Respect, Transparency",45 - 54,Employed part-time,Bachelor’s degree,UK,Woman,5
Yes,Often,7,7,7,7,"Family, Honesty / Integrity, Faith / Spirituality",My whole famly and my pets are my world,5,6,7,6,6,6,6,6,7,None,3,5,3,4,4,6,6,7,5,5,2,7,6,5,5,5,6,"Honesty, Human wellbeing, Transparency",55 - 65,Employed full time,High school,UK,Woman,6
Yes,Everyday,7,7,4,7,"Family, Responsibility, Faith / Spirituality",Faith,6,5,4,2,5,4,1,5,5,"Time / focus, Digital habits",3,4,5,4,5,7,2,2,5,6,5,3,1,3,6,7,7,"Empathy, Responsibility, Human wellbeing",25 - 34,Not currently working,Bachelor’s degree,Canada,Woman,5
Yes,Sometimes,6,6,6,6,"Family, Health, Compassion",The health and safety of my family and those around me (extended to the environment/ ecology as well).,6,5,4,4,4,4,2,1,4,"Time / focus, Work / career",4,4,3,3,3,6,4,2,1,4,3,2,5,6,5,6,6,"Honesty, Empathy, Non-harm",35 - 44,Employed part-time,Bachelor’s degree,Canada,Woman,6
Yes,Everyday,7,7,6,7,"Family, Security / Stability, Compassion","My daughter, and being able to provide a secure life for her, teaching her to always be compassionate and kind to others, especially those who are less fortunate than us.",6,5,6,1,6,6,1,2,2,"Work / career, Finances",4,3,3,2,3,6,4,4,2,3,3,2,1,4,3,5,5,"Empathy, Responsibility, Non-harm",35 - 44,Employed full time,Bachelor’s degree,UK,Woman,5
Yes,Occasionally,5,6,6,5,"Honesty / Integrity, Achievement / Growth, Compassion",Integrity,6,6,4,5,4,5,2,3,3,"Digital habits, Purpose / direction",3,2,2,4,3,6,4,5,3,7,6,7,4,6,7,7,7,"Empathy, Responsibility, Human wellbeing",35 - 44,Self-employed / freelance,Postgraduate degree,UK,Woman,5
Yes,Rarely,5,6,7,6,"Family, Independence, Creativity",Family. I have given my life to them so far.,3,5,2,2,3,5,6,7,7,"Relationships, Finances, Purpose / direction",4,4,3,2,3,2,6,5,7,7,7,7,1,7,7,6,7,"Honesty, Fairness, Responsibility",35 - 44,Employed full time,Bachelor’s degree,UK,Woman,3
Yes,Everyday,5,6,4,5,"Honesty / Integrity, Compassion, Responsibility",being thoughtful and supportive to everyone,6,5,6,4,6,6,2,5,6,"Time / focus, Finances",4,4,2,3,3,5,2,3,2,5,3,2,5,6,6,7,6,"Honesty, Empathy, Fairness",45 - 54,Employed full time,Bachelor’s degree,UK,Man,6
Yes,Everyday,6,6,5,6,"Family, Achievement / Growth, Independence",My health.,7,7,6,1,7,7,1,1,1,"Health, Relationships, Work / career, Purpose / direction",4,5,4,4,5,7,2,1,1,3,3,2,4,5,2,7,7,"Honesty, Responsibility, Human wellbeing",35 - 44,Employed full time,Some university/college,US,Man,6
Yes,Often,7,7,6,7,"Family, Achievement / Growth, Health",Family.,7,7,7,1,7,7,1,1,1,"Health, Time / focus, Relationships, Work / career, Digital habits, Finances, Purpose / direction",5,5,5,5,5,7,5,2,2,2,2,2,5,6,4,6,5,"Honesty, Human wellbeing, Accountability",55 - 65,Employed full time,Some university/college,UK,Woman,7
Yes,Everyday,7,7,7,7,"Family, Achievement / Growth, Security / Stability",My family's safety and security matters most to me in life. ,7,7,7,1,7,7,1,2,3,Digital habits,5,5,5,5,5,7,2,2,2,6,4,4,5,6,4,5,5,"Honesty, Transparency, Accountability",35 - 44,Employed full time,Postgraduate degree,US,Man,7
Yes,Sometimes,5,6,6,7,"Family, Security / Stability, Health",Family,6,7,7,2,5,7,2,3,2,None,4,4,3,3,3,7,3,2,2,5,2,3,3,6,3,3,3,"Honesty, Responsibility, Human wellbeing",35 - 44,Employed full time,Bachelor’s degree,UK,Man,6
Yes,Sometimes,6,6,6,7,"Family, Health, Faith / Spirituality",Family,6,6,5,5,6,5,2,3,3,"Health, Relationships, Digital habits",4,4,3,3,4,6,1,2,2,5,2,2,2,7,6,6,6,"Honesty, Empathy, Respect",25 - 34,Employed part-time,Some university/college,Canada,Man,6
Yes,Everyday,6,6,5,7,"Family, Security / Stability, Health",My Family ,6,6,7,2,7,6,5,6,5,"Time / focus, Digital habits, Finances",4,4,4,4,4,7,5,6,4,7,6,5,6,6,2,4,4,"Honesty, Responsibility, Non-harm",25 - 34,Employed full time,Bachelor’s degree,US,Man,6
Yes,Rarely,7,7,6,7,"Family, Honesty / Integrity, Faith / Spirituality",Being there for my future wife,7,7,6,1,7,7,2,1,7,None,5,4,4,4,5,7,2,2,6,1,1,1,2,7,6,2,5,"Fairness, Transparency, Accountability",25 - 34,Employed full time,Bachelor’s degree,US,Man,7
Yes,Often,6,5,7,5,"Family, Honesty / Integrity, Health",not contradicting one's own set of morals for empty personal gain,4,5,2,5,5,6,5,3,5,"Relationships, Digital habits, Finances",4,4,5,2,4,6,1,2,1,5,5,2,4,5,3,5,5,"Honesty, Responsibility, Transparency",25 - 34,Self-employed / freelance,Some university/college,Canada,Man,5
Yes,Everyday,5,6,4,6,"Security / Stability, Health, Independence",Be self reliant and not be a burden on anyone,5,5,5,3,5,6,5,7,7,"Health, Time / focus, Relationships, Work / career",3,4,2,2,3,6,1,7,4,7,7,5,4,4,6,7,7,"Honesty, Non-harm, Accountability",45 - 54,Self-employed / freelance,Bachelor’s degree,Australia,Man,5
Yes,Sometimes,3,5,6,2,"Security / Stability, Independence, Creativity","Freedom, having a choice and helping others. ",2,3,2,4,2,4,4,6,6,"Work / career, Purpose / direction",2,3,2,2,3,3,3,5,5,4,1,4,1,6,5,6,4,"Responsibility, Non-harm, Accountability",25 - 34,Not currently working,High school,UK,Woman,3
Yes,Everyday,5,5,5,5,"Family, Honesty / Integrity, Achievement / Growth",family and friends,6,6,6,6,6,5,5,5,3,"Work / career, Digital habits, Purpose / direction",4,4,4,4,4,5,2,4,4,6,6,5,5,5,4,4,5,"Responsibility, Non-harm, Transparency",25 - 34,Employed full time,Bachelor’s degree,UK,Woman,5
Yes,Occasionally,7,7,6,7,"Family, Honesty / Integrity, Security / Stability",Family,6,6,7,2,5,6,3,2,1,None,4,3,4,3,3,6,3,2,2,2,1,1,1,6,7,7,7,"Honesty, Responsibility, Non-harm",Over 65,Other,Some university/college,Canada,Woman,6
Yes,Occasionally,5,5,6,6,"Family, Security / Stability, Health",Being healthy for me to achieve my goals.,6,4,6,5,5,5,6,7,5,"Health, Time / focus, Relationships, Purpose / direction",4,4,3,2,3,5,4,5,4,5,4,3,5,5,6,6,6,"Fairness, Non-harm, Transparency",18 - 24,Employed part-time,Some university/college,UK,Man,5
Yes,Sometimes,6,5,6,6,"Family, Honesty / Integrity, Compassion",Family and friends,5,5,3,6,4,5,3,4,5,"Health, Finances, Purpose / direction",4,4,4,1,3,5,3,3,2,3,2,5,2,6,7,7,7,"Honesty, Human wellbeing, Non-harm",25 - 34,Employed full time,High school,UK,Man,5
Yes,Sometimes,5,6,5,5,"Honesty / Integrity, Responsibility, Adventure",To stay healthy and active in order to pursue hobbies and at the same time contribute to society by giving something back. ,6,5,6,3,6,6,3,4,3,None,4,3,2,3,4,6,4,2,3,5,4,3,5,4,3,6,6,"Honesty, Responsibility, Transparency",Over 65,Not currently working,High school,UK,Man,6
Yes,Very often,7,6,6,7,"Family, Honesty / Integrity, Security / Stability",My family & friends,6,6,6,2,6,7,5,5,2,"Health, Digital habits",5,4,4,3,3,6,2,2,1,6,3,5,4,5,5,7,6,"Honesty, Fairness, Human wellbeing",25 - 34,Employed full time,Bachelor’s degree,UK,Man,7
Yes,Occasionally,4,5,4,5,"Family, Security / Stability, Health","My children, my family and friendships. My job, dancing and music ",5,5,5,4,5,5,3,2,3,"Health, Relationships, Digital habits",3,3,3,2,3,6,2,2,3,5,4,3,3,6,3,5,5,"Non-harm, Transparency, Accountability",35 - 44,Employed part-time,Bachelor’s degree,UK,Woman,4
Yes,Occasionally,7,6,6,7,"Family, Honesty / Integrity, Health",Family,7,6,6,2,5,7,1,2,1,Digital habits,5,4,4,4,4,6,2,2,1,1,1,1,1,4,4,4,5,"Non-harm, Transparency, Accountability",35 - 44,Employed part-time,Some university/college,UK,Woman,7
Yes,Often,7,7,7,6,"Family, Security / Stability, Independence",Family,7,7,7,1,7,6,2,2,2,Digital habits,4,4,5,4,4,7,7,1,3,7,5,7,2,5,6,4,5,"Honesty, Responsibility, Human wellbeing",55 - 65,Employed full time,Bachelor’s degree,US,Woman,7
Yes,Sometimes,7,7,7,7,"Family, Honesty / Integrity, Compassion",Living my best life,7,7,7,2,7,6,2,2,1,None,4,4,4,2,5,6,2,4,2,5,3,1,3,6,4,2,3,"Responsibility, Non-harm, Transparency",55 - 65,Employed part-time,Bachelor’s degree,UK,Woman,6
Yes,Often,7,7,5,7,"Achievement / Growth, Security / Stability, Health",Personal growth,7,7,7,1,7,7,1,1,1,Time / focus,4,4,4,5,5,7,4,1,1,1,1,1,1,7,4,5,7,"Honesty, Human wellbeing, Non-harm",25 - 34,Employed full time,Bachelor’s degree,US,Man,6
Yes,Often,7,7,7,7,"Family, Honesty / Integrity, Responsibility",Family,6,6,6,2,5,6,1,6,6,"Health, Time / focus, Digital habits, Finances",4,4,3,2,3,6,6,3,1,7,7,7,7,5,7,7,7,"Human wellbeing, Non-harm, Transparency",35 - 44,Employed part-time,Postgraduate degree,UK,Woman,4
Yes,Often,5,6,6,5,"Family, Honesty / Integrity, Health",my family,5,5,4,3,5,5,1,4,4,Work / career,4,4,2,2,3,6,3,1,2,2,1,1,1,7,5,6,4,"Honesty, Fairness, Transparency",55 - 65,Not currently working,High school,UK,Woman,7
Yes,Everyday,7,7,4,7,"Family, Honesty / Integrity, Responsibility",To be happy and do what makes me happy and also help some people along the way,7,7,7,1,7,6,1,1,1,None,5,5,5,5,5,7,7,1,1,4,3,4,5,6,7,7,7,"Honesty, Responsibility, Accountability",25 - 34,Employed full time,Bachelor’s degree,US,Man,7
Yes,Sometimes,6,7,5,6,"Security / Stability, Health, Faith / Spirituality",Faith,5,4,5,3,4,3,5,4,5,"Health, Digital habits",2,3,2,2,3,5,3,5,4,5,5,5,4,4,3,6,7,"Honesty, Human wellbeing, Non-harm",55 - 65,Not currently working,Some university/college,Canada,Man,4
Yes,Very often,5,5,4,6,"Family, Security / Stability, Health",Health,4,3,4,5,3,4,3,4,4,"Time / focus, Digital habits",2,3,2,2,2,5,4,4,4,6,5,4,4,5,4,4,5,"Honesty, Non-harm, Accountability",35 - 44,Employed full time,Postgraduate degree,UK,Man,3
Yes,Very often,7,7,6,7,"Family, Honesty / Integrity, Compassion",My family,7,7,7,3,7,7,2,4,4,"Health, Work / career",4,3,2,2,5,7,4,4,3,4,4,3,2,7,7,7,7,"Honesty, Non-harm, Accountability",45 - 54,Employed part-time,High school,Australia,Woman,6
Yes,Very often,6,6,7,6,"Honesty / Integrity, Security / Stability, Responsibility",Responsibility,5,5,6,3,4,6,2,3,3,"Time / focus, Digital habits, Purpose / direction",3,4,3,4,3,6,4,3,3,5,6,5,5,5,6,7,6,"Honesty, Responsibility, Human wellbeing",Over 65,Not currently working,Postgraduate degree,UK,Man,5
Yes,Occasionally,6,7,5,6,"Family, Honesty / Integrity, Security / Stability",Stability and progression,6,6,5,2,5,5,2,5,5,"Time / focus, Digital habits",4,5,3,3,4,7,4,3,2,5,7,4,2,7,6,5,7,"Honesty, Empathy, Transparency",25 - 34,Employed full time,Bachelor’s degree,UK,Man,7
Yes,Often,5,6,4,6,"Security / Stability, Health, Independence",My physical and mental health,2,6,4,5,6,6,2,3,3,"Time / focus, Work / career",4,4,4,4,4,5,2,4,2,5,4,5,2,4,4,5,7,"Responsibility, Human wellbeing, Transparency",45 - 54,Employed part-time,Bachelor’s degree,Canada,Woman,5
Yes,Occasionally,6,6,7,5,"Family, Honesty / Integrity, Health",That my family remain healthy and honest to each other.,5,6,4,3,4,6,4,3,3,"Health, Time / focus",4,5,3,2,3,6,2,2,2,3,2,1,2,6,5,4,6,"Honesty, Responsibility, Non-harm",55 - 65,Other,Postgraduate degree,UK,Man,6
Yes,Very often,3,3,2,3,"Security / Stability, Independence, Responsibility",stability for my family,3,5,5,5,6,5,3,3,6,"Time / focus, Relationships, Work / career",3,4,2,2,3,5,3,3,3,5,6,5,5,3,5,6,6,"Honesty, Empathy, Responsibility",35 - 44,Employed full time,Bachelor’s degree,UK,Man,4
Yes,Never,6,5,6,6,"Family, Honesty / Integrity, Compassion",My family and friends,4,2,2,6,2,2,6,7,7,"Health, Work / career, Finances, Purpose / direction",3,3,2,1,2,3,4,6,5,5,5,6,1,7,7,2,4,"Honesty, Non-harm, Transparency",25 - 34,Not currently working,High school,Canada,Man,3
Yes,Often,5,3,5,5,"Honesty / Integrity, Health, Creativity",The health of people I love,2,1,2,6,1,2,3,6,7,"Time / focus, Relationships, Work / career, Purpose / direction, Hobbies",1,2,1,1,1,5,3,7,6,6,6,6,2,6,6,7,7,"Honesty, Fairness, Non-harm",35 - 44,Employed full time,Bachelor’s degree,UK,Woman,2
Yes,Never,7,7,7,7,"Family, Faith / Spirituality, My country ",God,7,5,5,5,4,7,1,4,1,Time / focus,4,4,4,1,3,7,1,1,1,7,2,5,1,7,7,1,7,"Honesty, Responsibility, Accountability",55 - 65,Other,High school,US,Woman,5
Yes,Never,5,6,6,5,"Honesty / Integrity, Responsibility, Adventure",My family,5,5,4,4,5,5,6,6,6,"Work / career, Finances",3,2,3,1,3,5,6,6,6,6,5,6,5,6,6,7,7,"Honesty, Fairness, Human wellbeing",55 - 65,Employed part-time,Some university/college,UK,Woman,5
Yes,Often,6,6,5,6,"Family, Honesty / Integrity, Community / Contribution",Family,6,6,6,2,6,6,3,3,4,"Work / career, Finances",4,4,4,4,4,6,4,3,3,4,4,4,2,4,4,4,4,"Honesty, Empathy, Responsibility",35 - 44,Employed full time,Postgraduate degree,Canada,Man,6
Yes,Sometimes,6,6,6,6,"Family, Responsibility, Faith / Spirituality",My family,6,6,6,2,6,6,2,2,2,Health,4,4,3,3,3,5,2,3,3,4,3,2,3,6,3,5,5,"Honesty, Fairness, Transparency",35 - 44,Employed full time,Bachelor’s degree,US,Woman,5
Yes,Sometimes,6,5,5,6,"Family, Achievement / Growth, Security / Stability",My family and friends matter most to me.,3,3,2,6,3,3,5,5,6,"Health, Work / career, Purpose / direction",3,3,4,2,3,6,2,5,3,7,6,5,3,5,6,6,7,"Honesty, Responsibility, Human wellbeing",25 - 34,Employed full time,Bachelor’s degree,Canada,Man,4
Yes,Very often,7,7,6,7,"Honesty / Integrity, Health, Independence",my loved ones,7,5,7,1,6,6,2,1,1,"Work / career, Digital habits",4,5,2,3,4,7,1,1,1,2,1,1,4,4,3,1,4,"Honesty, Respect, Transparency",45 - 54,Employed part-time,Some university/college,UK,Woman,6
Yes,Sometimes,7,7,6,7,"Family, Honesty / Integrity, Security / Stability",my child matters most ,7,6,4,3,5,7,1,1,1,"Relationships, Work / career, Purpose / direction",4,3,3,2,5,7,1,1,1,1,1,1,1,7,4,7,7,"Honesty, Fairness, Responsibility",45 - 54,Employed full time,High school,Canada,Woman,6
Yes,Occasionally,6,6,6,6,"Family, Honesty / Integrity",family,5,5,4,5,4,6,2,4,3,None,3,3,2,2,3,5,4,5,5,6,5,5,3,7,6,7,7,"Empathy, Non-harm, Accountability",45 - 54,Employed part-time,Bachelor’s degree,UK,Woman,5
Yes,Everyday,6,6,6,6,"Family, Independence, Faith / Spirituality",Having somthing to look forwards to and enjoy everyday,6,5,5,6,5,4,6,6,6,"Relationships, Work / career",4,4,4,4,4,5,3,3,3,6,6,6,3,5,2,7,7,"Honesty, Empathy, Non-harm",55 - 65,Employed full time,Bachelor’s degree,UK,Man,6
Yes,Very often,6,5,7,5,"Family, Honesty / Integrity, Health",My kids,5,5,5,6,1,6,1,5,7,"Health, Finances, Purpose / direction",3,2,1,1,3,6,2,5,2,5,5,3,4,4,3,4,6,"Honesty, Non-harm, Accountability",45 - 54,Self-employed / freelance,Some university/college,UK,Woman,4
Yes,Often,6,6,5,6,"Family, Achievement / Growth, Responsibility",family,6,5,5,2,6,5,2,3,2,Digital habits,4,4,3,4,4,6,2,2,1,4,4,3,4,5,4,3,4,"Fairness, Transparency",45 - 54,Employed full time,Bachelor’s degree,UK,Man,6
Yes,Very often,6,7,5,6,"Family, Honesty / Integrity, Health",Making sure myself and my family stay healthy,7,7,6,1,6,7,3,2,2,Time / focus,4,5,2,3,5,7,2,1,2,2,2,2,4,6,3,5,7,"Responsibility, Non-harm, Accountability",55 - 65,Employed full time,High school,UK,Man,7
Yes,Often,7,6,6,7,"Family, Compassion, Creativity","Feeling free and getting along with people, having the freedom to be creative",4,3,3,4,4,5,2,3,5,"Health, Work / career, Purpose / direction",3,2,2,1,2,6,4,6,2,6,4,5,2,6,5,6,7,"Fairness, Respect, Human wellbeing",45 - 54,Employed part-time,High school,UK,Woman,3
Yes,Often,7,7,5,6,"Family, Achievement / Growth, Health",My family and their security.,7,7,7,1,7,6,1,1,1,Digital habits,4,4,5,4,5,7,1,1,1,1,1,1,3,6,2,4,3,"Non-harm, Transparency, Accountability",25 - 34,Employed full time,Bachelor’s degree,UK,Man,7
